"[training], val, test",model_id,RMSE,MARD,MAE,A,B,C,D,E,precision,recall,F1,lag
"[['575-ws-training'], '575-ws-training', '575-ws-training']",id_2020-11-24_100220_madsobdrup,23.208398222904023,0.10724887378002805,15.716242211177072,0.8632326820603907,0.13676731793960922,0.0,0.0,0.0,0.6904761904761905,0.5087719298245614,0.5858585858585859,"{'max_lag_time': '20', 'corr': 0.961184742317226}"
"[['570-ws-training'], '570-ws-training', '570-ws-training']",id_2020-11-24_100943_madsobdrup,14.47795314043384,0.061229204058511365,11.190051932210123,0.9757785467128027,0.02422145328719723,0.0,0.0,0.0,0.8333333333333334,0.625,0.7142857142857143,"{'max_lag_time': '20', 'corr': 0.9845812711829268}"
"[['563-ws-training'], '563-ws-training', '563-ws-training']",id_2020-11-24_102847_madsobdrup,20.144672347419743,0.11054123196400811,14.50060289376785,0.8959435626102292,0.09171075837742504,0.008818342151675485,0.003527336860670194,0.0,0.6486486486486487,0.43636363636363634,0.5217391304347827,"{'max_lag_time': '20', 'corr': 0.9733224971571326}"
"[['559-ws-training'], '559-ws-training', '559-ws-training']",id_2020-11-24_104002_madsobdrup,20.086777691343833,0.09803559667837075,14.600463701414713,0.895946763460375,0.10405323653962492,0.0,0.0,0.0,0.7204301075268817,0.7127659574468085,0.7165775401069518,"{'max_lag_time': '15', 'corr': 0.9735130185374671}"
"[['591-ws-training'], '591-ws-training', '591-ws-training']",id_2020-11-24_110009_madsobdrup,21.630803901788,0.11879509158878603,15.409197465962041,0.8376220053238687,0.16237799467613132,0.0,0.0,0.0,0.3448275862068966,0.22727272727272727,0.273972602739726,"{'max_lag_time': '25', 'corr': 0.9644388521071642}"
"[['588-ws-training'], '588-ws-training', '588-ws-training']",id_2020-11-24_112250_madsobdrup,21.796381851310368,0.11547884985435378,15.852507030597172,0.8753894080996885,0.10669781931464174,0.01791277258566978,0.0,0.0,,0.0,,"{'max_lag_time': '25', 'corr': 0.9560417183679799}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '559-ws-training', '591-ws-training', '588-ws-training'], '575-ws-training', '575-ws-training']",id_2020-11-24_120552_madsobdrup,22.595832436343024,0.10494829579345609,15.299013658950097,0.8676731793960923,0.12966252220248667,0.0026642984014209592,0.0,0.0,0.8,0.49122807017543857,0.6086956521739131,"{'max_lag_time': '20', 'corr': 0.965525206353206}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '559-ws-training', '591-ws-training', '588-ws-training'], '570-ws-training', '570-ws-training']",id_2020-11-24_131747_madsobdrup,14.43571931332731,0.06018407391467387,11.087950793038,0.9688581314878892,0.031141868512110725,0.0,0.0,0.0,0.8333333333333334,0.625,0.7142857142857143,"{'max_lag_time': '20', 'corr': 0.9824973689827697}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '559-ws-training', '591-ws-training', '588-ws-training'], '563-ws-training', '563-ws-training']",id_2020-11-24_152435_madsobdrup,20.448250464023484,0.10966227236523862,14.523059525564427,0.890652557319224,0.09611992945326278,0.009700176366843033,0.003527336860670194,0.0,0.5471698113207547,0.5272727272727272,0.537037037037037,"{'max_lag_time': '20', 'corr': 0.9735096917082376}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '559-ws-training', '591-ws-training', '588-ws-training'], '559-ws-training', '559-ws-training']",id_2020-11-24_175443_madsobdrup,19.680861324740942,0.0932346082917821,14.111560959755572,0.9019963702359347,0.09800362976406533,0.0,0.0,0.0,0.7171717171717171,0.7553191489361702,0.7357512953367876,"{'max_lag_time': '15', 'corr': 0.974314909205407}"
"[['575-ws-training', '559-ws-training', '570-ws-training', '559-ws-training', '591-ws-training', '588-ws-training'], '591-ws-training', '591-ws-training']",id_2020-11-24_183902_madsobdrup,21.791755191537458,0.11780142756970124,15.313832744883296,0.8331854480922803,0.16592724046140195,0.0008873114463176575,0.0,0.0,0.3939393939393939,0.29545454545454547,0.3376623376623376,"{'max_lag_time': '25', 'corr': 0.9593268140626833}"
